Group,Character,Label,Help,HelpShort,Status,ValueType,ControlType,Params,Weight,Latitude
Taxonomy,taxon,Taxon,,,,,,,,
Costa,costa,Does the leaf have a costa?,Does the leaf have a midrib?,,key,text,single,,10,
Vaginate Lamina,vaginate-lamina-length,How far does the vaginate lamina extend from the base? ,"Length of the vaginate lamina (the folded basal part of the leaf that clasps the stem, leaf pocket) measuring from the base to the tip (proximal to the distal). ",,key,text,single,,8,
Vaginate Lamina,vaginate-lamina-alignment,Do the two halves of the vaginate lamina align? ,"Examine the apex of the vaginate lamina (the folded basal part of the leaf that clasps the stem, leaf pocket) and see if the two halves are aligned (equal) or if they are unaligned (unequal).",Aligned (equal) or unaligned (unequal).,key,text,single,,4,
Vaginate Lamina,vaginate-lamina-minor-lamina-apex,Where does the apex of the minor vaginate lamina end?,"Examine the apex of the vaginate lamina (the folded basal part of the leaf that clasps the stem, leaf pocket) and see where it ends. Ranges from on or near the costa to on or near the margin. ",,key,text,single,,8,
Lamina,lamina-margin,What is the texture of the margin of the lamina?,Examine the margin of the lamina; texture can range from entire to serrate.,,key,text,single,,8,
Limbidium,limbidium,Limbidium,These are elongate cells that occur on the edge of the leaf lamina. ,,key,text,single,,10,
Costa,costa-apex-ending,Where does the costa apex end? ,Examine the distal end of the lamina and determine where the costa (midrib) ends. ,,key,text,multi,,8,
Costa,costa-anatomy,What is the costa anatomy in the middle of the vaginate lamina?,"To see this character make a transverse section through the costa (midrib) in the middle of the vaginate lamina region (the folded basal part of the leaf that clasps the stem, leaf pocket). ",,key,text,single,,10,
Lamina,lamina-cell-thickness,How many cells thick is the leaf lamina in the distal (non-vaginate) lamina? ,To see this character a transverse section through the costa in the distal (non-vaginate) lamina region is needed. ,,key,text,multi,,6,
Lamina,lamina-cell-ornamentation,Ornamentation on the lamina cells? ,Examine the lamina cells on the dorsal lamina (non-vaginate) to see if there are surface features on the cells. Make a transverse section through this region of the leaf and examine the cells from the side to determine this character. ,,key,text,single,,8,
Lamina,lamina-cell-shape,What are the shape of the lamina cells? ,Examine the lamina cells on the dorsal lamina (non-vaginate) on a flat leaf mount.,,key,text,single,,10,
Lamina,juxtacostal-cells,Are the juxtacostal cells distinctive from the rest of the lamina cells?,Look at the cells next to the midrib/costa to see if the cells are a different size or shape from the rest of the cells of the lamina. ,,key,text,single,,6,
