Taxon,costa,vaginate-lamina-length,vaginate-lamina-alignment,vaginate-lamina-minor-lamina-apex,lamina-margin,limbidium,costa-apex-ending,costa-anatomy,lamina-cell-thickness,lamina-cell-ornamentation,lamina-cell-shape,juxtacostal-cells
Fissidens adianthoides,Costate,± 1/2 leaf length | ± 3/5 leaf length,± equal,ending on or near margin,± crenulate | serrulate ,Elimbate,2-6 cells before leaf apex | 3-10 cells before leaf apex | ± percurrent,taxifolius-type,1-stratose | infrequently 2-stratose,Smooth ± plane,±  quadrate | ± hexagonal,larger ± clear ± smooth ± oblong compared to other lamina cells
Fissidens ventricosus,Costate,± 1/2 leaf length | ± 2/3 leaf length,± equal,ending on or near margin | ending between margin and costa | ending on or near costa,± entire,Limbate on all laminae,2-6 cells before leaf apex | 3-10 cells before leaf apex | ± percurrent,bryoides-type,1-stratose | infrequently 2-stratose,Smooth ± bulging ,±  quadrate | ± hexagonal,same size and shape as other lamina cells
Fissidens obtusifolius,Costate,± 1/2 leaf length | ± 4/5 leaf length,± equal,ending on or near margin,± entire,Elimbate | Limbate on all laminae | Limbidium confined to vaginant laminae,2-6 cells before leaf apex | 3-10 cells before leaf apex | 6-16+ cells before leaf apex,bryoides-type,1-stratose,Smooth ± bulging ,±  quadrate | ± hexagonal,same size and shape as other lamina cells
Fissidens hallianus,Costate,± 1/2 leaf length | ± 2/3 leaf length,± equal,ending on or near margin ,± entire ,Elimbate | Limbidium confined to vaginant laminae,2-6 cells before leaf apex | 3-10 cells before leaf apex | 6-16+ cells before leaf apex,bryoides-type,2- to pluristratose,Smooth ± plane,±  quadrate | ± hexagonal,same size and shape as other lamina cells
Fissidens littlei,Costate,± 1/2 leaf length | ± 2/3 leaf length,± equal,ending on or near margin,± entire | ± crenulate,Elimbate,3-10 cells before leaf apex,bryoides-type,1-stratose,Mammillose,±  quadrate | ± hexagonal,same size and shape as other lamina cells
Fissidens grandifrons,Costate,± 1/2 leaf length | ± 2/3 leaf length,± equal,ending on or near margin | ending between margin and costa | ending on or near costa,± entire | ± crenulate,Elimbate,2-6 cells before leaf apex | 3-10 cells before leaf apex,taxifolius-type,2- to pluristratose,Smooth ± plane,±  quadrate | ± hexagonal,same size and shape as other lamina cells
Fissidens aphelotaxifolius,Costate,± 1/2 leaf length,± equal,ending on or near margin,± entire | ± crenulate,Elimbate,3-10 cells before leaf apex | ± excurrent,taxifolius-type,1-stratose,Smooth ± bulging ,±  quadrate | ± hexagonal,larger compared to other lamina cells
Fissidens scalaris,Costate,± 4/5 leaf length,± equal,ending on or near margin,± entire | crenulate-serrulate,Limbate on all laminae | Limbidium confined to vaginant laminae,2-6 cells before leaf apex | 3-10 cells before leaf apex | ± percurrent,bryoides-type,1-stratose,Smooth ± bulging ,±  quadrate | ± hexagonal,same size and shape as other lamina cells
Fissidens amoenus,Costate,± 1/2 leaf length,± unequal,ending on or near margin,± entire | crenulate-serrulate,Elimbate | Limbidium confined to vaginant laminae,3-10 cells before leaf apex | ± percurrent,bryoides-type,1-stratose,Smooth ± bulging ,±  quadrate | ± hexagonal,larger ± clear ± smooth ± oblong compared to other lamina cells
Fissidens exilis,Costate,± 2/5 leaf length,± unequal,ending on or near costa ,± entire | crenulate-serrulate,Elimbate,2-6 cells before leaf apex | 3-10 cells before leaf apex | ± percurrent,bryoides-type,1-stratose | infrequently 2-stratose | 2-stratose | 2- to pluristratose,Smooth ± plane,±  quadrate | ± hexagonal,same size and shape as other lamina cells
