Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort
costa,Ecostate,,,Leaf midrib absent,
costa,Costate,,,Leaf midrib present,
vaginate-lamina-length,± 1/2 leaf length,,,Extends halfway up the leaf,
vaginate-lamina-length,± 1/3 leaf length,,,Extends one-third up the leaf,
vaginate-lamina-length,± 2/3 leaf length,,,Extends two-thirds up the leaf,
vaginate-lamina-length,± 4/5 leaf length,,,Extends almost to the tip,
vaginate-lamina-length,± 3/4 leaf length,,,Extends three-quarters up the leaf,
vaginate-lamina-length,± 2/5 leaf length,,,Extends less than halfway up the leaf,
vaginate-lamina-alignment,± equal,,,"Leaf pocket is ± equal, edges of pocket line up",
vaginate-lamina-alignment,± unequal,,,"Leaf pocket is ± unequal, edges of pocket do not line up and are offset",
vaginate-lamina-minor-lamina-apex,ending on or near margin,,,Leaf pocket apex ends on or near leaf edge,
vaginate-lamina-minor-lamina-apex,ending on or near costa,,,Leaf pocket apex ends on or near midrib,
vaginate-lamina-minor-lamina-apex,ending between costa and margin,,,Leaf pocket apex ends between midrib and leaf edge,
lamina-margin,± entire,,,Leaf edge is ± smooth,
lamina-margin,± crenulate,,,"Leaf edge has ± tiny rounded teeth, with teeth made of bulging walls of one cell",
lamina-margin,serrulate,,,"Leaf edge has small saw-like teeth, with teeth made of only part of one cell",
lamina-margin,serrate,,,"Leaf edge has saw-like teeth, with teeth made of one or more cells",
lamina-margin,denticulate,,,"Leaf edge has fine teeth, with teeth made of only the projecting tip of one cell",
lamina-margin,crenulate-serrulate,,,Leaf edge has tiny rounded teeth along with small saw-like teeth. ,
limbidium,Elimbate,,,Border absent,
limbidium,Limbate on all laminae,,,Border present on all leaves,
limbidium,Limbidium confined to vaginant laminae,,,Border restricted to leaf pocket,
costa-apex-ending,1 cell before leaf apex,,,Tip of midrib ends 1 cell before tip of leaf,
costa-apex-ending,2-6 cells before leaf apex,,,Tip of midrib ends 2-6 cells before tip of leaf,
costa-apex-ending,3-10 cells before leaf apex,,,Tip of midrib ends 3-10 cells before tip of leaf,
costa-apex-ending,6-16+ cells before leaf apex,,,Tip of midrib ends 6-16+ cells before tip of leaf,
costa-apex-ending,± percurrent,,,The midrib extends to the tip of the leaf and ends there.,
costa-apex-ending,± excurrent,,,The midrib extends past the tip of the leaf.,
costa-apex-ending,cuspidate leaf apex,,,"The tip of the leaf ends in a sharp, stiff point formed by the midrib extending beyond the rest of the leaf.",
lamina-cell-thickness,1-stratose,,,Leaf thickness 1-layer of cells,
lamina-cell-thickness,infrequently 2-stratose,,,Leaf thickness occasionally 2-layers of cells,
lamina-cell-thickness,2-stratose,,,Leaf thickness 2-layers of cells,
lamina-cell-thickness,2- to pluristratose,,,Leaf thickness 2- to several layers of cells,
costa-anatomy,bryoides-type,,,"Examining a transverse section through the middle of the vaginate lamina (leaf pocket). The leaf midrib contains two peripheral guide cells (large, thin-walled) and two lateral bands of sterid cells (small, thick-walled) separated by one (sometimes more) large central cell. ",
costa-anatomy,oblongifolius-type,,,"Examining a transverse section through the middle of the vaginate lamina (leaf pocket). The leaf midrib contains three lateral bands (two lateral and one ventral) of sterid cells (small, thick-walled) and as many as 16 guide cells (large, thin-walled) arranged in a U or V formation, and as many as 5 large central cells. ",
costa-anatomy,taxifolius-type,,,"Examining a transverse section through the middle of the vaginate lamina (leaf pocket). The leaf midrib contains four or more peripheral guide cells (large, thin-walled) and two lateral bands of sterid cells (small, thick-walled) separated by 1-5 large central cells. ",
lamina-cell-ornamentation,Mammillose,,,Leaf cells have one bump on each cell,
lamina-cell-ornamentation,Pluripapillose,,,Leaf cells have many bumps on each cell,
lamina-cell-ornamentation,Smooth ± bulging,,,Leaf cells lack bumps and are swollen,
lamina-cell-ornamentation,Smooth ± plane,,,Leaf cells lack bumps and are flat,
juxtacostal-cells,greatly enlarged ± clear ± oblong compared to other lamina cells,,,"Cells next to the midrib are distinct from surrounding leaf cells. They are significantly bigger, more transparent, and stretched out in form than the surrounding leaf cells.",
juxtacostal-cells,larger ± clear ± smooth ± oblong compared to other lamina cells,,,"Cells next to the midrib are distinct from surrounding leaf cells. They are bigger, transparent, lack bumps, and stretched out in form than the surrounding leaf cells.",
juxtacostal-cells,larger ± elongate ± quadrate ± oblong compared to other lamina cells,,,"Cells next to the midrib are distinct from surrounding leaf cells in that they are bigger, longer, boxy, and stretched out in form than the surrounding leaf cells.",
juxtacostal-cells,larger compared to other lamina cells,,,Cells next to the midrib are bigger than the surrounding leaf cells.,
juxtacostal-cells,same size and shape as other lamina cells,,,Cells next to the midrib are similar in scale and form compared to the surrounding leaf cells.,
lamina-cell-shape,± hexagonal,,,Leaf cell forms are ± six sided,
lamina-cell-shape,± quadrate,,,Leaf cell forms are ± boxy ,
lamina-cell-shape,elongate-hexagonal,,,Leaf cell forms are lengthened six-sided,
lamina-cell-shape,"hexagonal, in transverse section usually twice as deep as wide",,,"Leaf cell forms are six-sided, and when viewed from the side, they are usually about twice as tall as they are side to side",
lamina-cell-shape,rhombic in proximal portions of vaginant laminae,,,Leaf cell forms in the proximal parts of the leaf pocket are diamond-shaped.,
lamina-cell-shape,"oblong, marginal cells smaller",,,Leaf cell forms are stretched with smaller cells along the leaf edge. ,
lamina-cell-shape,rounded-hexagonal,,,"Leaf cells forms are six-sided, but with soft, curved corners ",
